casa,genero,id_parlamentar,nome_completo,nome_eleitoral,partido,uf
senado,Masculino,1663,Francisco de Menezes Pimentel,Menezes Pimentel,NA,NA
senado,Masculino,4899,Michel Dib Tachy,Michel Dib Tachy,NA,NA
senado,Masculino,5935,Miguel Capobiango Neto,Miguel Biango,NA,NA
senado,Masculino,2122,Miguel Couto Filho,Miguel Couto,NA,NA
senado,Masculino,5086,Miguel Dias de Souza,Miguel Dias de Souza,PRB,NA
senado,Masculino,2989,Miguel Monteiro Barros Lins,Miguel Lins,NA,NA
senado,Masculino,201,Miguel Reale Júnior,Miguel Reale Júnior,NA,NA
senado,Masculino,2126,Milton Bezerra Cabral,Milton Cabral,NA,NA
senado,Masculino,2128,Milton Soares Campos,Milton Campos,NA,NA
senado,Masculino,2990,Milton Ribeiro Menezes,Milton Menezes,NA,NA
senado,Masculino,5897,Milton Jose das Mercêz,Milton Mercêz,NA,NA
senado,Masculino,2127,Milton Blanco de Abrunhosa Trindade,Milton Trindade,NA,NA
senado,Masculino,5595,Moacir Kohl,Moacir Kohl,PSB,NA
senado,Masculino,2991,Moacyr Sobral Barreto,Moacyr Barreto,NA,NA
senado,Masculino,2129,Moacyr Dalla,Moacyr Dalla,NA,NA
senado,Masculino,2130,Moacyr Torres Duarte,Moacyr Duarte,NA,NA
senado,Masculino,2131,Moisés Abrão Neto,Moisés Abrão,NA,NA
senado,Masculino,3621,Moisés José Marques,Moisés Marques,NA,NA
senado,Masculino,2957,José Moreira Bastos Filho,Moreira Filho,NA,NA
senado,Masculino,186,Rubens Moreira Mendes Filho,Moreira Mendes,PSD,NA
senado,Masculino,1504,Auro Soares de Moura Andrade,Moura Andrade,NA,NA
senado,Masculino,2995,Oswaldo Moura Brasil do Amaral,Moura Brasil,NA,NA
senado,Masculino,3003,Pedro Augusto de Moura Palha,Moura Palha,NA,NA
senado,Masculino,1470,Antovilla Rodrigues Mourão Vieira,Mourão Vieira,NA,NA
senado,Masculino,2132,Moysés Lupion de Troya,Moysés Lupion,NA,NA
senado,Masculino,952,Francisco Mozarildo de Melo Cavalcanti,Mozarildo Cavalcanti,PTB,NA
senado,Masculino,2135,Murilo Paulino Badaró,Murilo Badaró,NA,NA
senado,Masculino,2134,Murilo Carneiro Leão Paraíso,Murilo Paraíso,NA,NA
senado,Masculino,200,Márcio Antônio Bueno,Márcio Antônio Bueno,NA,NA
senado,Masculino,5094,Márcio Bergonsi Turra,Márcio Bergonsi Turra,PP,NA
senado,Masculino,1952,José Márcio Panoff de Lacerda,Márcio Lacerda,MDB,NA
senado,Masculino,3638,Márcio Tadeu Vieira Pessatti,Márcio Tadeu Vieira Pessatti,NA,NA
senado,Masculino,1094,Mário Calixto Filho,Mário Calixto,MDB,NA
senado,Masculino,4539,Mário Couto Filho,Mário Couto,PSDB,NA
senado,Masculino,2108,Mário Covas Júnior,Mário Covas,NA,NA
senado,Masculino,2111,Mário de Souza Martins,Mário Martins,NA,NA
senado,Masculino,2985,Mário Motta,Mário Motta,NA,NA
senado,Masculino,3364,Francisco de Assis de Moraes Souza,Mão Santa,PSC,NA
senado,Masculino,62,Nabor Teles da Rocha Júnior,Nabor Júnior,MDB,NA
senado,Feminino,5997,Nailde Fernandes Panta da Silva,Nailde Panta,NA,NA
senado,Masculino,4931,Natal Wellington Rodrigues Furucho,Natal Wellington Rodrigues Furucho,NA,NA
senado,Masculino,3534,Natal de Souza Chaves,Natal de Souza Chaves,NA,NA
senado,Masculino,172,Nathanias Ribeiro V. Shosten,Nathanias Ribeiro V. Shosten,NA,NA
senado,Masculino,3599,Neides Batista,Neides Batista,NA,NA
senado,Masculino,5985,Nelson Trad Filho,Nelsinho Trad,PSD,MS
senado,Masculino,2137,Nelson de Souza Carneiro,Nelson Carneiro,NA,NA
senado,Masculino,2993,Nelson Firmo de Oliveira,Nelson Firmo,NA,NA
senado,Masculino,2138,Nelson Maculan,Nelson Maculan,NA,NA
